No,GK,GK1,GK2,GK3,GEO,GEO1,GEO2,GEO3,SCI,SCI1,SCI2,SCI3,HIS,HIS1,HIS2,HIS3,MAT,MAT1,MAT2,MAT3,ENG,ENG,ENG2,ENG3
11,How many times has Brazil won the Football World Cup?,3 times,[5 times],4 times,What is a glaciated valley that becomes flooded by the sea called?,V Shaped Valley,U Shaped Valley,[A fjord],In what units is Force measured?,Centimetres cubed,Kilograms,[Newtons],In what year was the GAA founded?,[1884],1904,1994,4 + 88 + 11 =,100,102,[103],How do you spell the word fortuitous?,[Fortuitous],X,X
12,Which vitamin do you get from the sun?,Vitamin B,[Vitamin D],Vitamin C,What is the sharp ridge of rock between two corries called?,Peak,[Arete],Boulder,In what units is Density measured?,Inches,Centimetres Cubed,[Kilograms per Cubic Metre],Who founded the GAA?,[Michael Cusack],Christy Ring,Pádraig Pearse,3 + 13 + 53 + 143 =,213,202,[212],How do you spell the word prerequisite?,[Prerequisite],X,X
13,What does the ozone layer restrict?,Visible light,[Ultraviolet radiation],Infrared radiation,What is the slowest form of mass movement?,Soil Move,[Soil creep],Landslide,In what units is Acceleration measured?,Miles per Minute,Metres per second,[Metres per Second Squared],What year was the Gaelic League founded?,[1893],1888,1895,8 + 18 + 28 + 38 =,108,88,[92],How do you spell the word phenomenon?,[Phenomenon],X,X
14,"Who hosted ""The Late Late Show"" in America in 2020?",Jimmy Fallon,[James Corden],Jimmy Kimmel,Stalactites and Stalagmites are found in limestone caves. True or False?,FALSE,[TRUE],X,In what units is speed typically measured?,Rotations per Minute,Knots,[Metres per Second],"Douglas Hyde, Eoin Mac Neil and Eoin O' Growney founded which organisation?",[Gaelic League],Irish Home Rule League,Labour,5 + 19 + 60 + 101 =,190,195,[185],How do you spell the word prodigy?,[Prodigy],X,X
15,What does ecology deal with?,Cell formation,[Organisms and their environment],Birds,Rocks______when heated and______ when cooled?,Contract / Expand,[Expand /Contract],Shrink /Grow,What is the SI unit for measuring distance?,Feet,Inches,[Metres],What was the aim of the Gaelic League?,[Preserve Ireland],Invade England,GAA League,17 + 32 + 49 + 111 =,239,199,[209],How do you spell the word simplified?,[Simplified],X,X
16,How many states make up the U.S.A?,52 states,[50 states],51 states,What is another name for a Corrie lake?,Lough,[A Tarn],Lagoon,What is a Force per unit area called?,Volume,Force,[Pressure],In what year was the Society of United Irishman founded?,[1791],1799,1800,19 + 38 + 56 + 176 =,256,222,[289],How do you spell the word strategy?,[Strategy],X,X
17,For galvanizing iron which of the following metals is used?,Aluminium,Copper,[Zinc],Which letter best describes the shape of a glaciated valley?,M,[U],V,In what units is pressure measured?,Kelvin,Newtons,[Pascals],Of what party was John Redmond leader from 1900 to 1918?,[Irish Parliamentary Party],Labour ,Fianna Fáil,7 + 36 + 54 + 60 =,178,169,[157],How do you spell the word eloquent?,[Eloquent],X,X
18,In what year was the iPhone first released?,2009,2008,[2007],Rivers deposit material on the outside bend of a meander. True or False?,TRUE,[FALSE],X,What entity enables work to be carried out?,Speed,Weight,[Energy],What year was Sinn Féin founded?,[1905],1926,1970,9 + 13 + 65 + 29 =,146,136,[116],How do you spell the word pessimistic?,[Pessimistic],X,X
19,What is the total number of red blood cells in a normal human body?,15 trillion,20 trillion,[30 trillion],When the sea erodes the base of a cliff what feature is formed?,A Nook,[A Notch],A Pillar,In what units is energy measured?,Kilocalories,Ohms,[Joules],Who founded Sinn Féin?,[Arthur Griffith],Pádraig Pearse,Charles Stuart Parnell,188 + 168 =,366,346,[356],How do you spell the word nausea?,[Nausea],X,X
20,What was the name of Hitler's party which came into power in 1933?,Conservatives,Liberals,[The Nazi party],What name is given to the flat land on either side of a mature river? ,Arid Plane,[Flood Plane],Salt Plane,Who is credited with developing the three laws of motion?,Einstein,Archimedes,[Newton],In what city was James Connolly born?,[Edinburgh],London,Belfast,159 + 254 =,423,[413],403,How do you spell the word malevolent?,[Malevolent],X,X
21,"Which actor plays Mitch Buchannon in ""Baywatch"" released in 2017?",Jon Bass,Zach Efron,"[Dwayne ""The Rock"" Johnson]",A freehand drawing of a map or photograph is better known as a ?,Road Map,[Sketch Map],Site Map,What is the rate at which work is done called?,Speed,Energy,[Power],What was the name of the paper James Connolly published?,[The Worker's Republic],The Irish Times,Irish Freedom,218 + 325 =,423,[543],613,How do you spell the word vehement?,[Vehement],X,X
22,Which NFL team won the Superbowl in 2018?,New England Patriots,New York Giants,[Philadelphia Eagles],What is an entire area drained by a river and its tributaries called?,A Lake,[A basin],Reservoir,In what unit is power is measured?,Pascals,Joules,[Watts],In what city was James Larkin Born?,Belfast,[Liverpool],Derry,139 + 99 =,268,[238],308,How do you spell the word shrewd?,[Shrewd],X,X
23,"In March 2020, who became the most followed person on TikTok?",Addison Rae,Loren Gray,[Charli D'Amelio],What is high ground separating one river basin from another called?,Water table,[Watershed],Waterway,What are the two scales in which temperature is measured?,Degrees/Fahrenheit,Degrees/Celsius,[Celsius/Fahrenheit],Who founded the Irish Transport and General Workers Union?,Pádraig Pearse,[James  Larkin],Arthur Griffith,312 + 422 =,568,[734],674,How do you spell the word artificial?,[Artificial],X,X
24,"From what movie is this quote: ""And oh, Auntie Em, there's no place like home.""?",Finding Nemo,Frozen,[The Wizard of Oz],"What is a large, low lying level land area known as?",Drumlins,[Plain],Ridges,In what units is heat measured?,Pascals,Ohms,[Joules],In what year did World War I start?,1910,[1914],1912,654 + 106 =,750,[760],759,How do you spell the word clergy?,[Clergy],X,X
25,"From what movie is this quote: “That’ll do, pig. That’ll do.""?",Black Beauty,Lassie,[Babe],What does the acronym OSM stand for?,Ordinary Shaped Mountains,[Ordinance Survey Map],Over Site Map,What instrument is used to measure temperature?,Heat gun,Heat clock,[Thermometer],In what year was the Easter Rising?,1928,[1916],1922,241 + 123 =,366,[364],374,How do you spell the word neutral?,[Neutral],X,X
26,What was Darth Vader's name when he was born?,JJ Vader,Vermon Vader,[Anakin Skywalker],What are large areas of land over 600m with peaks over 750m called?,[Highlands],Lowlands,Uplands,What is the transfer of energy by electromagnetic waves called?,Radio wave,Microwave,[Radiation],"How many signatories are on the Proclamation of the Irish Republic, signed in 1916?  ",5,[7],6,24 - 9 =,16,[15],13,How do you spell the word loiter?,[Loiter],X,X
27,"Marlin, Dory and Gill are characters from which Disney animated movie?",Titanic,Jaws,[Finding nemo],What are large areas of land over 180m with peaks over 250m called?,[Uplands],Highlands,Lowlands,What heat is required to change the state of matter without increasing its temperature?,Heat energy,Leftover Heat,[Latent Heat],In what year did Pádraig Pearse found Scoil Éanna?,1911,[1908],1907,55 - 28 =,28,[27],26,How do you spell the word irregular?,[Irregular],X,X
28,Tom Hanks is the voice of which character in the Toy Story movies?,Ham,Buzz Lightyear,[Woody],What is land of altitude between 0m and 250m better known as?,[Lowlands],Highlands,Uplands,What is the numbers of protons in a particular nucleus called?,Atomic Rate,Atomic Code,[Atomic Number],In what year was the United Nations founded?,1934,[1945],1925,43 - 18 =,27,[25],32,How do you spell the word integrity?,[Integrity],X,X
29,"Matt Damon starred in a which film that left him ""stranded and alone"".",The Departed,Bourne Identity,[The Martian],What pattern of drainage occurs when several streams flow from a mountain or hill?,[Radial],Trellised,Dendritic,What is the number of protons and neutrons in a particular nucleus called?,Mass Code,Atomic Number,[Mass Number],Which organisation's aims were to preserve world peace and human rights?,NATO,[United Nations],WTO,68 - 35 =,38,[33],29,How do you spell the word disillusion?,[Disillusion],X,X
30,In what year did Lebron James begin his professional basketball career?,2006,2005,[2003],"In physical geography, where does the transition zone lie?",[Inside the Earth's Crust],Outside the Earth's Crust,Around the Earth's Crust,What is a material which allows electrons to move through called?,[Conductor],Insulator,Valve,How many members are in the Security Council of the United Nations?,12,[15],10,79 - 52 =,34,[27],37,How do you spell the word meticulous?,[Meticulous],X,X
31,Will Ferrell played step-dad Brad Whitaker in which 2015 comedy?,3 Men and a Baby,The Interns,[Daddy's Home],What does the Earth's crust consist of?,[Solid Rock],Water,Soil,What is the flow of electrons through a conductor called?,[Electric Current],Electric Field,Electric Volt,Which countries are permanent members of the Security Council?,"[USA, France, Britain, Russia, China]",X,X,65 - 22 =,33,[43],23,How do you spell accommodation?,[Accommodation],X,X
32,What number movie of the Fast & Furious series was released in 2017?,9,6,[8],What does the Earth's mantle mainly consist of?,[Rocks],Sand,Water,In what units is electric current measured?,[Amperes],Ohms,Volts,How many members have a veto on the Security Council?,10,[5],15,78 - 23 =,56,[55],45,"What poet wrote ""The Solitary Reaper""?",Dylan Thomas,[William Wordsworth],Austin Clarke
33,"The animated Disney film ""Tangled"" retells which German fairy tale?",Hansel and Gretel,Heidi,[Rapunzel],What is a sudden tremor in the Earth's crust known as?,[Earthquake],Tsunami,Landslide,What is the space around a charged body which exerts force on another body called?,[Electric Field],Magnetic Field,Electric Volt,How many countries are permanent members of the Security Council?,6,[5],10,65 - 48 =,19,[17],23,"Who wrote the poem ""And Death Shall Have No Dominion""?",William Shakespeare,[Dylan Thomas],Robert Frost
34,"Which character does Will Ferrell play in the 2003 Christmas comedy ""Elf""? ",Santa,The Snowman,[Buddy the Elf],What is the centre of an earthquake at the Earth's surface called?,[Epicentre],Quake Centre,Earth Zone,In what state is a body which has a net deficiency of electrons?,[Positively charged],Neutral,Negatively charged,Which two countries went to war over Kashmir in 1949?,Iran/Iraq,[India / Pakistan],Israel/India,54 - 16 =,28,[38],36,"Which poem opens with the line: ""Summer delights the scholar with knowledge and reason""?",The Solitary Reaper,[The Scholar],I Wandered Lonely as a Cloud
35,"Which rapper's  songs include ""Lucid Dreams"", ""Bandit"" and ""Robbery""?",Travis Scott,Lil Wayne,[Juice Wrld],"What is the centre of an earthquake beneath the Earth's surface, called?",[Focus],High Centre,Focal,In what state is a body which has a net excess of electrons?,[Negatively charged],Neutral,Positively charged,What year was the Treaty of Rome signed?,1958,[1957],1947,64 - 52 =,8,[12],18,"Who wrote the poem ""The Scholar""?",William Wordsworth,[Austin Clarke],John Donne
36,"Which actor plays Mia in the award-winning movie ""La La Land"", released in 2016?",[Emma Stone],Anne Hathaway,Julie Andrews,What is the  line along which the Earth's plates meet called?,[Fault Lines],Parallel Lines,Centre Lines,What is the study of electrically charged bodies called?,[Electrostatics],Electrons,Electrolysis,What was created by the signing of the Treaty of Rome?,United Nations,[EEC],NATO,72 - 6 - 9 =,61,[57],54,"Who wrote the poem ""Easter 1916""?",William Shakespeare,[William Butler Yeats],William Wordsworth
37,"Which male actor played Tony Stark and Iron Man in ""Spider-Man: Homecoming""?",[Robert Downey Jr.],Chris Hemsworth,Chris Evans,Where in the world is the largest earthquake and volcanic zone?,[Pacific Ocean],Atlantic Ocean,Indian Ocean,In what units is the electric charge of a body measured?,[Coulomb],Ohm,Amperes,In what year did the EEC come into existence?,1959,[1958],1960,99 - 3 - 13 =,86,[83],80,"Who wrote the poem ""The Darkling Thrush""?",John Donne,[Thomas Hardy],Dylan Thomas
38,"Who plays the character Dr. Indiana Jones in ""Indiana Jones and the Last Crusade""?",[Harrison Ford],Samuel L. Jackson,Michael Douglas,What is the Japanese word for a giant wave caused by an earthquake?,Tube Wave,Riptide, [Tsunami],What is a material which does now allow light through it called?,[Opaque material],Translucent material,Optic material,In what year did Ireland become a member of the EEC?,1972,[1973],1974,57 - 12 - 7 =,39,[38],37,"Who wrote the poem ""The Daffodils""?",T.S.Elliot,[William Wordsworth],Dylan Thomas
39,"Who does Michael J. Fox play in the ""Back to the Future"" movies?",[Marty McFly],The Mad Scientist,JJ Fly,What do palaeontologists study?,Plants,Animals,[Fossils],What is a material which allows objects to be seen through it called?,[Transparent material],Opaque material,Clear material,In 1847 who wrote the communism manifesto?,Stalin,[Marx & Engels],Hitler,63 - 6 - 25 =,[32],31,30,"Who wrote the poem ""The road not taken""?",Patrick Kavanagh,[Robert Frost],John Donne
40,"Who voices Emmet in ""The Lego Movie"" released in 2014?",[Chris Pratt],Chris Evans,Chris Martin,What name is given to a non explosive type of volcano?,Active,Dormant,[Shield Volcano],What is a material that allows partial visibility through it called?,[Translucent material],Shaded material,Transparent material,In what year did Mother Teresa die?,1995,[1997],1996,48 - 11 - 4 =,[33],31,35,"Who wrote the poem  ""Fear no more the heat of the sun""?",William Wordsworth,[William Shakespeare],T.S.Eliot
41,"Who plays The Terminator in the movie ""Terminator Genesis""?",[Arnold Schwarzenegger],Nicholas Cage,Sylvester Stallone,"In a desert, what causes most of the erosion?",Sand,Sun,[Wind],Through what does sound travel more slowly?,[Water],Light,Air,In what country was Mother Teresa born?,Russia,[Macedonia],India,96 - 21 - 13 =,[62],36,60,"Who wrote the poem ""Tintern Abbey""?",William Butler Yeats,[William Wordsworth],Dylan Thomas
42,"Which One Direction band member appears in the war movie ""Dunkirk""?",[Harry Styles],Niall Horan,Liam Payne,What fine silt is deposited by a river on its flood plain?,Nutrients,Compost, [Alluvium],The gaps in railway lines are there for what reason?,[Expansion],Reduction,Air Flow,In what year was the Bosnian peace treaty signed?,1996,[1995],1993,85 - 13 - 12 =,[60],59,58,"Who wrote the poem ""Death""?",Patrick Kavanagh,T.S.Elliot,[William Butler Yeats]
43,Which team won the Ulster football final in 2016?,[Tyrone],Donegal,Derry,What is the place that a river begins known as?,Spring,Mouth,[Source],What effect does an increase in altitude have on pressure?,Increase,[Decrease],Remains the Same,In what year did the IRA declare a truce?,1993,[1994],1992,88 - 36 - 25 =,[27],28,29,"Who wrote the poem ""Song""?",William Wordsworth,T.S.Elliot,[John Donne]
44,"Who does Eddie Murphy play in the ""Beverly Hills Cop"" movies?",[Axel Foley],Axel Maguire,Axel Brown,What is the place where two rivers join known as? , Deltas,Estuary,[Confluence],Which type of surface absorbs heat more quickly? ,[A Dark Coloured Surface],A Neutral Coloured Surface,A Light Coloured Surface,Name the agreement that helped bring an end to the troubles in Northern Ireland?,[Good Friday Agreement],X,X,42 - 9 - 11 =,[22],20,31,"Who wrote the poem ""Sailing to Byzantium""?",Dylan Thomas,Patrick Kavanagh,[William Butler Yeats]
45,Who was the first actor to play James Bond in 1962?,[Sean Connery],Pierce Brosnan,Roger Moore,What is the place where a river enters a sea or lake known as?,Estuary,[Entrance],Source,What substance is the only natural magnet?,[Magnetite],Magnesium,Zinc,What does the Term PLO stand for?,Palestine Lead's Order,Palestine Liberal Outrage,[Palestine Liberation Organisation],36 - 17 - 18 =,[1],2,3,"Who wrote the poem ""Fern Hill"" ?",John Donne,T.S.Elliot,[Dylan Thomas]
46,"Who plays William Brandt in ""Mission Impossible - Rogue Nation""?",[Jeremy Renner],Jeremy Irons, Jerry Maguire,What  high ground separates one river basin from another? ,Estuary,[Watershed],Tributary,Density is equal to mass divided by what?,[Volume],Weight,Area,In what year was Labour Leader Tony Blair elected Prime Minister of Britain?,1993,1995,[1997],65 + 5 - 9 =,[61],60,70,"Who wrote the poem "" The Second Coming""?",Austin Clarke,Patrick Kavanagh,[William Butler Yeats]
47,Which team won the All Ireland football final in 2017?,[Dublin],Mayo ,Cork,Which famous river runs through Dublin?,River Slaney,[River Liffey],River Shannon,Which of the three states of matter expands least when heated?,[Gas],Liquid,Solid,"In 1993, Israel signed a peace accord with which organisation?",1990,1992,[Palestine Liberation Organisation],88 + 12 - 40 =,[60],40,80,"Who wrote the poem "" The Waste Land""?",William Shakespeare,John Donne,[T.S.Elliot]
48,"Which actor played James Bond in the movie ""Die Another Day""?",[Pierce Brosnan],Sean Connery,Daniel Craig,What is the most northerly county in Ireland?,Derry,[Donegal],Antrim,In electricity what does AC stand for?,[Alternating Current] ,Accelerating Current,Air Current,"In 1993, what did the European Community became known as?",EEC,EC,[European Union],96 + 15 - 4 =,[107],108,105,"Who wrote the poem "" The great Hunger""?",Austin Clarke,William Butler Yeats,[Patrick Kavanagh]
49,Who plays Ethan Hunt in the Mission Impossible movies?,[Tom Cruise],Keanu Reeves,Matt Damon,"What ""C"" is the river on which Galway stands?",Clane,[The Corrib],Clew ,The Kinetic Theory states that the molecules in a substance are in constant what?,[Motion],Suspension,Rotation,In what year was the Maastricht Treaty signed?,1990,1985,[1993],35 + 25 - 5 =,[55],60,50,"Who wrote the poem "" In memory of my mother""?",William Butler Yeats,Austin Clarke,[Patrick Kavanagh]
50,"Which pop star sang the theme song for the Bond movie ""Spectre"" in 2015?",[Sam Smith],Hozier,Madonna,What is the most southerly county in Ireland?,Clare,[Cork],Kerry,Are  velocity and acceleration measured in the same units?,[No],Yes,X,Name the Prime Minister who was involved in the Downing Street Declaration?,Tony Blair,Margaret Thatcher,[John Major],2 + 34 - 18 =,[18],20,30,"Who wrote the poem ""Four Quartets""?",John Donne,Thomas Hardy,[T.S.Elliot]
51,"Who plays Captain America in ""The Avengers""?",[Chris Evans],Robert Downey Jr.,Jeremy Renner,What is the largest county in Ireland?,Donegal,[Cork],Galway,What instrument is used to measure atmospheric pressure?,[Barometer],Thermometer,Anemometers,Name the Taoiseach that was involved in the Downing Street Declaration?,Gareth Fitzgerald,Charles Haughey,[Albert Reynolds],9 + 27 - 6 =,[30],35,25,"Who wrote the poem ""Ash Wednesday""",William Butler Yeats,William Wordsworth,[T.S.Elliot]
52,"Who is the lead singer of ""Coldplay""?",[Chris Martin],Noel Gallagher,Mark Owen,What is the smallest county in Ireland?,Carlow,[Louth],Leitrim,At which of these three points is the atmospheric pressure greater?,[At sea Level],At the peak of a mountain ,In a hot air balloon,In 1995 what Israeli Prime Minister was assassinated?,Saddam Hussein,Osama Bin Laden,[Yitzhak Rabin],11 + 10 - 1 =,[20],11,12,"Who wrote the poem ""A Prayer for my Daughter""",William Wordsworth,Austin Clarke,[William Butler Yeats]
53,Which team won the Munster Hurling final in 2017?,[Cork],Clare,Tipperary,What is the county town of Leitrim?,Ballina,[Carrick-on-Shannon],Letterkenny,Can water be used in a barometer?,[No],Yes,X,In what year did the Smoking Ban come into effect in Ireland?,2003,2002,[2004],25 + 8 - 13 =,[20],19,18,"Finish the proverb ""Absence makes the..""",[heart grow fonder],X,X
54,"Which British artist sings ""Bloodstream""? ",Liam Gallagher,[Ed Sheeran],Robbie Williams,Lough Kee is in which county?,Mayo,[Roscommon],Leitrim,What is the freezing point of water on the centigrade scale?,247°C,[O°C],180°C,In 1995 GATT was replaced by which organisation?,European Community,NATIO,[World Trade Organisation],40 + 36 - 6 =,[70],60,50,"Finish the proverb ""All that glitters..""",[is not gold],X,X
55,"How many members are in the band ""The Chainsmokers""?",4,[2],5,Name the river that flows through Belfast.,Lee,[Lagan],Liffey,What is the boiling point of water on the centigrade scale?,247°C,[100°C],150°C,In what year did the USSR collapse?,1985,1988,[1991],90 + 1 - 57 =,[34],32,36,"Finish the proverb ""Ask no questions and..""",[you'll be told no lies],X,X
56,"Which Coldplay album does the song ""A Sky Full of Stars"" feature on?",A Head Full of Dreams,[Ghost Stories],Parachutes,With how many counties does county Tipperary border?,7,[8],6,What is absolute zero in centigrade?,Minus 100°C,[Minus 273°C],Minus 200°C,In what year did the USSR form?,1908,1914,[1922],8 x 9 =,[72],73,71,"Finish the proverb ""A barking dog..""",[seldom bite],X,X
57,"Who sang the song ""Billie Jean"" in 1982?",George Michael,[Michael Jackson],Billy Ocean,Which city lies where the river Lagan meets the Belfast Lough?,Derry,[Belfast],Dundalk,What is the normal body temperature?,30°C,[37°C],40°C,In what year was the Russian Revolution?,1936,1958,[1917],9 x 2 =,[18],11,20,"Finish the proverb ""Charity Begins..""",[at home],X,X
58,"Who sang the song ""Wake me up before you Go-Go"" in 1984?",Michael Jackson,[Wham],Boy George,Which two Irish cities are situated at either end of the N9 Primary Route?,Dublin and Galway,[Dublin and Waterford],Dublin and Wexford,What is 0°C on the Kelvin Scale?,173°,[273°],174°,Which Russian Tsar was overthrown in the Russian Revolution?,John 1st ,Charles 1st,[Nicholas 2nd],11 x 11 =,[121],132,111,"Finish the proverb ""Do as I say..""",[not as I do],X,X
59,"Which American artist released the song ""Material Girl"" in 1984?",Janet Jackson,[Madonna],Kate Bush,In which American state is the Grand Canyon located?,[Arizona],California,Nevada,What do most substances do when heated?,Contract,[Expand],Burn,Who was the leader of the Bolsheviks?,Stalin,Hitler ,[Lenin],(12 x 5) + 46,[106],96,116,"Finish the proverb ""Don’t put new wine..""",[into old bottles],X,X
60,"How many members were in the 80's pop band ""Wham""?",4,[2],3,"In Connacht, which county does not have a coastline?",[Roscommon],Sligo,Leitrim,Is water a good conductor or poor conductor of heat?,[Poor],Good,X,What was the name of the first president of the Russian Federation?,Lenin,Stalin,[Boris Yeltsin],What is 8/40 in it's simplest form?,[1/5],X,X,"Finish the proverb ""Every cloud has..""",[a silver lining],X,X
61,"Who sang the song ""Ice Ice Baby"" in 1990?",Beastie Boys,[Vanilla Ice],Run DMC,Through how many counties does the River Shannon flow?,[11],9,8,Which one of the following can be magnetised?,Iron ,[Copper],Nickel,The Birmingham Six were released from prison in what year?,1995,1989,[1991],What is the formula for the area of a triangle?,[1/2 the Base  x  Height],X,X,"Finish the proverb "" Familiarity breeds..""",[contempt],X,X
62,"Who sang the song ""Genie in a Bottle"" in 1999?",Britney Spears,[Christina Aguilera],Miley Cyrus,On which river would you find the Powerscourt Waterfall?,[The River Dargle],The River Boyne,The River Brosna,How many poles does a magnet have?,1,[2],4,In what year did the civil war in Bosnia Herzegovina start?,1991,1993,[1992],(12 x 3) - 8 =,[28],26,30,"Finish the proverb ""Everything comes to..""",[him who waits],X,X
63,"Who was known as Sporty Spice in the ""Spice Girls""?",Mel B,[Mel C],Victoria Beckham,Where in Ireland would you find Bangor Erris?,[Mayo],Galway,Longford,What do like poles in a magnet do to each other?,Attract,[Repel],Join,In what year was the ANC organisation legalised in South Africa?,1989,1988,[1990],(4 x 5 x 2) + 6 =,[46],40,56,"Finish the proverb ""Forbidden fruit..""",[taste Sweetest],X,X
64,"Which artist sang ""Baby One More Time"" in 1999?",Pink,[Britney Spears],Beyonce,Which river flows under Dublin Castle?,[The River Poddle],The River Vartry,The River Dodder,What do opposite poles in a magnet  do to each other?,Join,[Attract],Repel,In what year was Nelson Mandela released from prison?,1995,1996,[1990],How do you find the area of a rectangle?,[Length  x  Width],X,X,"Finish the proverb ""You can't burn the candle..""",[at both ends],X,X
65,"In which movie did the song ""My Heart will Go On"" feature in 1997?",Far and Away,[Titanic],Love Actually,What is the capital of Hungary?,[Budapest],Szeged,Debrecen,Can magnetism work through water?,[No],Yes,X,For how long was Nelson Mandela imprisoned on Robben Island?,26 years,25 years,[27 years],What is the formula to find the circumference of a circle?,"[ 2πr, r  = radius]",X,X,"Finish the proverb ""When one door shuts..""",[another opens],X,X
66,"Who sang the song ""Poker Face"" in 2008?",Christina Aguilera,[Lady Gaga],Katy Perry,What is the capital of Iceland?,[Reykjavik],Selfoss,Akureyri,Objects that give out light are said to be?,[Transparent],Respondent,Opaque,In 1991 which Balkan Country erupted in civil war?,Greece,Romania,[Yugoslavia],"What is the value of Pi, to three decimal places",[3.141],X,X,"Finish the proverb ""Virtue is..""",[it's own reward],X,X
67,"Who was the lead singer of the rock band ""Queen""?",Bono,[Freddie Mercury],David Bowie,What is the capital of Albania?,[Tirana],Berat,Elbasan,"Red, Green and Blue are collectively known as?",[Primary  Colours],Secondary Colours,Main Colours,In China the Tiananmen Square massacre  took place in what year? ,1990,1988,[1989],Vertically opposite angles are equal in?,[Measure],X,X,"Finish the proverb ""Together we stand..""",[divided we fall],X,X
68,"Which singing competition were the band ""Little Mix"" on?",America's Got Talent,[The X Factor],Britain's Got Talent,What is the capital of Armenia?,[Yerevan],Gyumri,Kapan,How many colours make up the colour spectrum?,[7],8,6,In 1990 which European country was unified?,Ireland,Poland,[Germany],Name 2 types of chart that are used to display statistical information?,[Bar Chart & Pie Chart],X,X,"Finish the proverb ""Time is the..""",[great healer],X,X
